Q,PB,PL,PR,I
81.699997,1.78,6.95,1.11,25088
56.900002,2.27,7.32,0.67,26561
64.099998,2.21,6.96,0.83,25510
65.400002,2.15,7.18,0.75,27158
64.099998,2.26,7.46,1.06,27162
58.099998,2.49,7.47,1.1,27583
61.700001,2.52,7.88,1.09,28235
65.300003,2.46,7.88,1.18,29413
57.799999,2.54,7.97,0.88,28713
63.5,2.72,7.96,1.3,30000
65.900002,2.6,8.09,1.17,30533
48.299999,2.87,8.24,0.94,30373
55.599998,3,7.96,0.91,31107
47.900002,3.23,8.34,1.1,31126
57,3.11,8.1,1.5,32506
51.599998,3.11,8.43,1.17,32408
54.200001,3.09,8.72,1.18,33423
51.700001,3.34,8.87,1.37,33904
55.900002,3.31,8.82,1.52,34528
52.099998,3.42,8.59,1.15,36019
52.5,3.61,8.83,1.39,34807
44.299999,3.55,8.86,1.6,35943
57.700001,3.72,8.97,1.73,37323
51.599998,3.72,9.13,1.35,36682
53.799999,3.7,8.98,1.37,38054
50,3.81,9.25,1.41,36707
46.299999,3.86,9.33,1.62,38411
46.799999,3.99,9.47,1.69,38823
51.700001,3.89,9.49,1.71,38361
49.900002,4.07,9.52,1.69,41593
